college_code,college_name,type,region,district,local_area
GGURPU,"GODAVARI GLOBAL UNIVERSITY",PU,,EG,AU
CABP,"Dr. N T R COLLEGE OF AGRICULTURAL
ENGINEERING",UNIV,,GTR,AU
CFSB,"Dr. N T R COLLEGE OF FOOD SCIENCE
AND TECHNOLOGY",UNIV,,GTR,AU
SRMUPU,"S R M UNIVERSITY AP",PU,,GTR,AU
VITAPU,"VIT-AP UNIVERSITY",PU,,GTR,AU
VITAPUMT,"VIT-AP UNIVERSITY-5 YEAR INTEGRATED
MTECH",PU,,GTR,AU
VVITPU,"V V I T - UNIVERSITY",PU,,GTR,AU
AITSPU,"ANNAMACHARYA  UNIVERSITY",PU,,KDP,AU
CFSP,"COLLEGE OF FOOD SCIENCE AND
TECHNOLOGY",UNIV,,KDP,SVU
YSRA,"DR.YSR ARCHITECTURE AND FINE ARTS
UNIVERSITY",UNIV,,KDP,AU
CENUPU,"CENTURION UNIVERSITY OF
TECHNOLOGY & MANAGEMENT",PU,,VZM,AU
